"title","price","discount","developer","publisher","release_date","valoration","reviews","stock","descarga","f2p","initial_price","DLC","genre1","genre2","multiplayer","indie","year","month","day"
"Empire of Sin - Europe",4.63,88,"Romero Games","Paradox Interactive","2020-12-01",7,14,1,"Descarga digital",0,38.5833333333333,FALSE,"RPG","Estrategia",FALSE,FALSE,2020,12,1
"Borderlands: The Pre-Sequel Season Pass",2.41,92,"2K Australia","Aspyr (Linux)","2015-03-24",9,11,1,"Descarga digital",0,30.125,TRUE,"Acción","RPG",FALSE,FALSE,2015,3,24
"Monster Prom",2.01,83,"Beautiful Glitch","Those Awesome Guys","2018-04-27",8,2,1,"Descarga digital",0,11.8235294117647,FALSE,"Simulación","Simulación",FALSE,TRUE,2018,4,27
"Overcooked! 2 - Surf 'n' Turf",1.72,66,"Ghost Town Games Ltd.","Team17 Digital Ltd","2018-10-03",9,0,0,"No",0,5.05882352941176,TRUE,"Acción","Acción",FALSE,TRUE,2018,10,3
"The Dungeon Of Naheulbeuk: The Amulet Of Chaos",6.52,81,"Artefacts Studio","E-Home Entertainment","2020-09-17",10,9,0,"No",0,34.3157894736842,FALSE,"Acción","Aventura",FALSE,TRUE,2020,9,17
"Kerbal Space Program: Breaking Ground",6,60,"Squad","Private Division","2019-05-30",10,0,1,"Descarga digital",0,15,TRUE,"Simulación","Simulación",FALSE,TRUE,2019,5,30
"Circuit Superstars",10.4,48,"Original Fire Games","Square Enix","2021-10-12",10,1,1,"Descarga digital",0,20,FALSE,"Acción","Carreras",FALSE,TRUE,2021,10,12
"Scribblenauts Unmasked: A DC Comics Adventure",1.72,91,"5th Cell Media","Warner Bros. Interactive Entertainment","2013-09-24",2,0,1,"Descarga digital",0,19.1111111111111,FALSE,"Acción","Aventura",FALSE,FALSE,2013,9,24
"BattleTech Mercenary Collection",6.18,93,"Harebrained Schemes","Paradox Interactive","2018-04-24",9,17,1,"Descarga digital",0,88.2857142857143,FALSE,"Acción","Aventura",FALSE,FALSE,2018,4,24
"Fell Seal: Arbiter's Mark",1.28,96,"6 Eyes Studio","Fulqrum Publishing","2019-04-30",10,4,1,"Descarga digital",0,32,FALSE,"RPG","Estrategia",FALSE,TRUE,2019,4,30
"NBA 2K Playgrounds 2",6.61,78,"Saber Interactive","2K","2018-10-16",10,5,1,"Descarga digital",0,30.0454545454545,FALSE,"Deporte","Deporte",FALSE,FALSE,2018,10,16
"Assetto Corsa: Dream Pack 2",1.92,73,"Kunos Simulazioni","Kunos Simulazioni","2015-10-08",9,3,0,"No",0,7.11111111111111,TRUE,"Carreras","Simulación",FALSE,TRUE,2015,10,8
"Dungeon of the Endless - Pixel Edition",1.26,89,"AMPLITUDE Studios","SEGA","2014-10-27",7,6,1,"Descarga digital",0,11.4545454545455,FALSE,"Aventura","RPG",FALSE,TRUE,2014,10,27
"Furi",3.05,85,"The Game Bakers","The Game Bakers","2016-07-05",9,14,1,"Descarga digital",0,20.3333333333333,FALSE,"Acción","Acción",FALSE,FALSE,2016,7,5
"TrackMania² Stadium",4.91,51,"Nadeo","Ubisoft","2013-02-27",9,32,1,"Descarga digital",0,10.0204081632653,FALSE,"Carreras","Deporte",FALSE,FALSE,2013,2,27
